#{"t_start": 1626100784.5870004, "env_id": "RoboSkateSegmentation-v0"}
r,l,t
117.886372,225,37151.857332
239.673124,1000,37232.109602
251.28351,1000,37309.973276
244.643771,329,37336.675545
226.574123,1000,37416.686504
167.40763,1000,37495.463404
252.698248,1000,37572.755814
173.432082,1000,37650.859019
228.481813,992,37728.124302
135.381453,1000,38113.442674
117.381144,1000,38192.299202
262.550546,1000,38269.857672
214.046583,783,38332.635579
68.271881,1000,38409.819047
22.857927,223,38428.192931
136.256303,414,38461.616862
153.316965,317,38486.706138
230.100152,1000,38565.373226
305.244906,1000,38643.343879
121.191762,349,38671.570127
165.609316,1000,38749.414851
210.491131,1000,38828.144277
229.708119,1000,39215.955238
166.572752,1000,39293.593756
132.966433,1000,39372.19813
66.842702,1000,39449.347763
319.23209,1000,39528.438786
118.254491,510,39568.696705
261.253948,1000,39647.26777
146.539968,1000,39724.546301
126.501181,219,39742.579278
254.990685,1000,39820.519357
212.651112,1000,39899.259109
246.994761,1000,40112.528898
256.623854,1000,40190.233249
216.690525,1000,40270.507142
131.332453,321,40296.169067
259.200599,1000,40375.173032
153.258777,1000,40453.766829
131.760558,262,40474.355774
224.367116,1000,40553.700552
256.448791,1000,40631.029712
140.706553,1000,40709.062727
204.103948,756,40768.915705
304.823785,1000,40847.953208
141.276565,576,41096.426323
294.885464,1000,41174.014133
249.482204,1000,41252.744906
252.5619,1000,41330.498782
108.95789,1000,41409.432317
291.553901,1000,41488.388966
243.358339,1000,41565.593769
132.396242,518,41606.827053
-29.211097,600,41655.017091
150.549072,422,41688.277977
231.275737,1000,41767.63058
177.983051,1000,41845.507067
151.074608,1000,42181.191151
245.808039,1000,42259.902944
190.504752,1000,42338.049196
233.891499,1000,42417.954114
275.293808,1000,42495.907401
129.402435,225,42513.647887
158.578915,1000,42592.447532
210.241583,1000,42671.433606
44.717033,1000,42749.001878
103.616544,1000,42828.238549
19.031503,1000,43169.507597
282.561156,1000,43248.163603
220.099104,1000,43326.877887
159.606473,1000,43404.000325
49.393495,1000,43482.824261
60.615879,1000,43562.592792
105.83078,1000,43639.615076
137.871856,1000,43717.31009
118.957489,1000,43795.534884
163.02277,1000,43874.758927
0.335889,1000,44182.045179
69.869948,1000,44259.512147
157.536641,429,44293.866126
84.578835,1000,44372.967767
74.302839,1000,44449.082694
82.351122,669,44502.023159
116.668036,1000,44580.516423
61.471722,328,44607.128592
142.066428,1000,44686.120153
86.18193,1000,44765.747065
43.934699,1000,44843.055511
145.915594,208,44861.017582
90.146596,1000,44938.492578
109.161827,1000,45325.416025
166.566305,1000,45403.666159
118.134375,1000,45482.650227
333.098532,1000,45561.988849
-33.326444,797,45624.339273
154.740505,1000,45704.074845
269.034714,1000,45783.239516
56.049677,1000,45862.011253
124.385199,219,45879.162356
39.874246,1000,45957.806049
141.133923,1000,46036.899106
131.939354,1000,46346.313026
269.54482,1000,46425.064031
115.243615,1000,46503.622293
290.05017,520,46544.762005
121.069331,1000,46622.977803
97.635275,397,46654.45582
93.318868,415,46688.142975
286.552317,1000,46767.124171
225.6662,1000,46844.518119
-31.176739,1000,46921.755127
278.037861,1000,46999.770669
2.239944,1000,47366.250343
105.18664,1000,47445.086496
165.5649,1000,47522.776886
203.235227,359,47552.083551
243.932283,1000,47630.980555
6.784472,1000,47709.463438
190.51542,1000,47788.448484
235.945485,1000,47866.303584
248.961864,1000,47944.778989
260.85915,1000,48023.173862
89.555398,233,48041.089317
128.160466,1000,48119.522933
123.108828,622,48430.673092
143.28384,305,48454.26738
208.932719,483,48492.974135
111.897138,1000,48571.966352
47.855831,1000,48649.31508
145.290484,532,48692.537812
97.287248,158,48705.146727
274.133251,1000,48784.325557
96.92732,381,48815.023762
105.388531,851,48881.44522
96.62227,1000,48961.205857
272.753101,1000,49038.955854
159.919369,212,49055.648307
113.716396,1000,49134.816993
91.474963,1000,49476.836751
209.667853,830,49543.008589
288.723832,1000,49620.623871
254.709961,1000,49699.524385
232.834016,1000,49777.764356
125.3269,1000,49855.478638
200.263829,1000,49934.775091
119.062279,436,49970.094871
311.436932,1000,50047.463014
123.379791,1000,50126.558102
157.248807,256,50146.995239
139.48785,1000,50226.460393
85.603498,1000,50610.175241
262.739198,1000,50689.277102
227.845779,1000,50766.520199
268.38797,1000,50846.18928
114.742632,1000,50925.328909
125.329035,1000,51003.51288
42.340385,1000,51082.904681
178.904174,383,51113.412884
19.166269,910,51185.255378
136.923706,230,51204.365702
264.954578,1000,51282.633183
102.270668,1000,51590.6761
127.81878,1000,51671.015003
143.55655,1000,51748.395459
119.927615,1000,51827.093916
105.050113,1000,51906.953846
214.27874,1000,51985.58181
280.45927,1000,52064.614923
150.584139,245,52084.434628
152.103966,520,52125.630909
106.594563,1000,52204.203335
234.282391,373,52234.045609
91.995702,1000,52313.095579
85.462507,1000,52699.533091
11.600131,175,52713.94502
92.281622,956,52789.363555
152.192915,339,52816.214714
136.174146,1000,52894.438383
217.217242,1000,52973.304111
255.006919,1000,53052.050801
49.523717,1000,53130.442559
169.331647,1000,53208.682926
182.391065,1000,53288.635793
148.203071,328,53314.780454
258.659683,1000,53394.117137
37.165039,262,53414.777297
204.985012,335,53441.747372
41.409108,1000,53784.940986
77.584345,1000,53860.662832
267.762871,1000,53939.082324
145.610225,218,53956.168762
-54.954145,671,54009.436457
152.252018,236,54028.507555
346.361237,1000,54105.698288
233.054377,1000,54184.219709
126.462617,633,54234.35146
177.132558,1000,54312.433582
55.312792,464,54349.763683
82.518177,1000,54427.990633
136.170733,355,54457.081427
194.680581,1000,54746.555591
122.345748,1000,54827.344205
265.337536,1000,54905.395701
103.635204,1000,54983.604287
277.81865,1000,55062.212227
110.892,1000,55141.058688
260.407304,1000,55217.895545
243.232727,1000,55296.584734
127.397389,1000,55374.441988
191.554902,1000,55453.825405
142.362435,220,55471.255844
106.066273,773,55840.25977
-81.90217,278,55862.744969
131.958109,1000,55940.980564
234.338992,1000,56019.024448
179.010811,1000,56098.952396
137.947985,1000,56176.426475
251.708828,1000,56255.918416
132.213647,1000,56334.545266
150.707124,1000,56413.203611
56.896156,486,56451.813413
125.075897,1000,56529.215645
42.260812,1000,56896.252219
120.582292,1000,56975.216546
142.309911,819,57039.444728
166.718259,1000,57117.349185
114.084349,1000,57197.137621
165.939427,1000,57274.886821
269.598617,1000,57354.186598
215.224601,1000,57433.158622
409.659908,1000,57510.134595
138.052444,930,57584.03073
95.986176,377,57613.809011
143.250822,346,57640.752778
96.133534,170,57654.876298
116.230557,1000,58040.326388
83.437022,1000,58118.301969
129.318125,1000,58197.379914
114.448877,1000,58274.361146
265.045719,1000,58352.933021
270.744818,1000,58431.537378
130.719519,281,58453.490092
218.063254,1000,58533.038944
151.080375,1000,58611.292466
185.188841,443,58647.872627
214.91176,1000,58726.902148
74.759424,1000,59112.094824
274.722922,1000,59190.693086
141.85279,963,59267.086739
128.225186,1000,59345.780178
236.16629,1000,59423.862208
296.273042,1000,59502.876268
145.563916,1000,59581.246525
141.33121,1000,59660.60017
323.85108,1000,59738.742871
143.469726,1000,59815.507443
106.817934,290,59839.153234
211.637822,1000,60225.39149
228.926421,1000,60302.989673
188.664392,1000,60381.391869
157.013326,1000,60459.377639
173.277616,1000,60538.243013
208.405288,324,60564.485753
289.530533,1000,60642.618558
366.512976,1000,60719.790733
201.476707,461,60757.109468
183.192005,518,60799.33778
270.072161,330,60825.503791
155.426806,847,60891.968417
112.652332,258,60912.796948
143.96806,1000,61300.179508
162.990969,1000,61377.38318
225.193332,1000,61457.296268
163.252309,1000,61536.205601
104.182744,325,61561.922459
150.055526,1000,61639.271703
137.339073,1000,61718.710159
208.463305,1000,61797.363446
148.457457,1000,61875.228667
261.034506,459,61911.247679
240.234226,1000,61991.565649
169.698375,1000,62376.832937
167.269967,214,62393.572571
259.325893,553,62437.969013
91.313233,1000,62516.19408
